Customer_ID,Satisfaction_Score,Feedback_Comments,Likelihood_to_Recommend
1,10.0,Very satisfied,9
2,3.0,Very satisfied,3
3,10.0,Very satisfied,1
4,7.0,Needs improvement,4
5,8.0,Unsatisfactory,7
6,3.0,Needs improvement,1
7,3.0,Needs improvement,2
8,7.0,Needs improvement,5
9,10.0,Good service,9
10,7.0,Good service,1
11,9.0,Good service,4
12,6.0,Unsatisfactory,3
13,7.0,Very satisfied,5
14,10.0,Very satisfied,5
15,1.0,Needs improvement,10
16,7.0,Excellent,2
17,2.0,Needs improvement,5
18,7.0,Unsatisfactory,9
19,3.0,Needs improvement,5
20,9.0,Good service,10
21,5.0,Unsatisfactory,2
22,7.0,Unsatisfactory,7
23,8.0,Good service,6
24,2.0,Good service,7
25,1.0,Good service,8
26,7.0,Good service,10
27,6.0,Unsatisfactory,5
28,6.0,Good service,2
29,2.0,Good service,7
30,3.0,Unsatisfactory,7
31,4.0,Needs improvement,8
32,3.0,Needs improvement,7
33,2.0,Unsatisfactory,10
34,3.0,Good service,7
35,6.0,Needs improvement,9
36,9.0,Very satisfied,8
37,4.0,Very satisfied,2
38,6.0,Good service,2
39,1.0,Good service,7
40,6.0,Excellent,10
41,3.0,Excellent,10
42,9.0,Unsatisfactory,3
43,4.0,Good service,1
44,7.0,Excellent,9
45,4.0,Needs improvement,3
46,6.0,Good service,1
47,7.0,Unsatisfactory,6
48,2.0,Very satisfied,4
49,10.0,Very satisfied,1
50,6.0,Unsatisfactory,4
51,8.0,Needs improvement,8
52,6.0,Good service,7
53,5.684784805011113,Needs improvement,1
54,4.0,Excellent,10
55,1.0,Needs improvement,9
56,7.0,Good service,6
57,8.0,Very satisfied,2
58,10.0,Good service,3
59,2.0,Excellent,7
60,10.0,Good service,3
61,5.0,Good service,3
62,8.0,Good service,5
63,8.0,Unsatisfactory,3
64,5.0,Needs improvement,3
65,8.0,Needs improvement,5
66,6.0,Good service,5
67,5.0,Very satisfied,9
68,4.0,Excellent,1
69,5.0,Excellent,1
70,4.0,Excellent,9
71,1.0,Excellent,5
72,3.0,Unsatisfactory,4
73,8.0,Needs improvement,2
74,7.0,Unsatisfactory,9
75,7.0,Needs improvement,6
76,3.0,Very satisfied,9
77,9.0,Good service,5
78,6.0,Excellent,4
79,8.0,Good service,7
80,8.0,Unsatisfactory,5
81,3.0,Very satisfied,8
82,4.0,Good service,8
83,6.0,Good service,2
84,2.0,Very satisfied,5
85,7.0,Very satisfied,10
86,2.0,Very satisfied,8
87,5.0,Unsatisfactory,3
88,4.0,Very satisfied,7
89,9.0,Good service,3
90,2.0,Very satisfied,6
91,7.0,Needs improvement,2
92,7.0,Needs improvement,6
93,7.0,Needs improvement,6
94,1.0,Good service,8
95,8.0,Good service,5
96,2.0,Unsatisfactory,1
97,5.0,Unsatisfactory,8
98,2.0,Very satisfied,9
99,5.0,Good service,1
100,7.0,Good service,5
101,6.0,Very satisfied,6
102,5.0,Unsatisfactory,4
103,4.0,Needs improvement,2
