Customer_ID,Total_Transactions,Total_Amount,Avg_Transaction_Amount,Max_Transaction_Amount,Days_Since_Last_Transaction,Satisfaction_Score,Likelihood_to_Recommend,Cluster
1,6,16836.0,2806.0,4993.0,951,10.0,9,0
1,6,16836.0,2806.0,4993.0,951,7.0,9,0
2,2,4907.0,2453.5,2850.0,992,3.0,3,2
2,2,4907.0,2453.5,2850.0,992,7.0,5,2
2,2,4907.0,2453.5,2850.0,992,3.0,7,2
3,1,1538.0,1538.0,1538.0,1075,10.0,1,2
3,1,1538.0,1538.0,1538.0,1075,9.0,8,2
3,1,1538.0,1538.0,1538.0,1075,6.0,2,2
4,2,8295.0,4147.5,4736.0,953,7.0,4,2
4,2,8295.0,4147.5,4736.0,953,7.0,8,2
4,2,8295.0,4147.5,4736.0,953,7.0,2,2
4,2,8295.0,4147.5,4736.0,953,2.0,3,2
4,2,8295.0,4147.5,4736.0,953,4.0,1,2
4,2,8295.0,4147.5,4736.0,953,6.0,2,2
5,5,14798.0,2959.6,4878.0,926,8.0,7,0
5,5,14798.0,2959.6,4878.0,926,7.0,3,0
5,5,14798.0,2959.6,4878.0,926,8.0,9,0
5,5,14798.0,2959.6,4878.0,926,7.0,4,0
5,5,14798.0,2959.6,4878.0,926,7.0,5,0
5,5,14798.0,2959.6,4878.0,926,7.0,7,0
5,5,14798.0,2959.6,4878.0,926,3.0,10,0
5,5,14798.0,2959.6,4878.0,926,3.0,5,0
5,5,14798.0,2959.6,4878.0,926,8.0,1,0
6,3,8694.0,2898.0,3021.0,1023,3.0,1,2
6,3,8694.0,2898.0,3021.0,1023,3.0,2,2
6,3,8694.0,2898.0,3021.0,1023,2.0,7,2
7,2,3572.0,1786.0,3027.0,935,3.0,2,2
7,2,3572.0,1786.0,3027.0,935,6.0,4,2
7,2,3572.0,1786.0,3027.0,935,5.684784805011113,10,2
7,2,3572.0,1786.0,3027.0,935,9.0,5,2
7,2,3572.0,1786.0,3027.0,935,3.0,1,2
8,6,12252.0,2042.0,4681.0,1019,7.0,5,2
8,6,12252.0,2042.0,4681.0,1019,8.0,1,2
8,6,12252.0,2042.0,4681.0,1019,5.684784805011113,7,2
9,8,17320.0,2165.0,4789.0,978,10.0,9,0
9,8,17320.0,2165.0,4789.0,978,9.0,4,0
9,8,17320.0,2165.0,4789.0,978,5.0,1,0
9,8,17320.0,2165.0,4789.0,978,7.0,1,0
9,8,17320.0,2165.0,4789.0,978,4.0,3,0
9,8,17320.0,2165.0,4789.0,978,7.0,6,0
10,6,15682.0,2613.6666666666665,4867.0,930,7.0,1,0
10,6,15682.0,2613.6666666666665,4867.0,930,3.0,6,0
10,6,15682.0,2613.6666666666665,4867.0,930,3.0,4,0
10,6,15682.0,2613.6666666666665,4867.0,930,7.0,3,0
10,6,15682.0,2613.6666666666665,4867.0,930,7.0,1,0
11,1,4993.0,4993.0,4993.0,1038,9.0,4,2
11,1,4993.0,4993.0,4993.0,1038,1.0,3,2
11,1,4993.0,4993.0,4993.0,1038,6.0,7,2
11,1,4993.0,4993.0,4993.0,1038,9.0,2,2
11,1,4993.0,4993.0,4993.0,1038,3.0,3,2
11,1,4993.0,4993.0,4993.0,1038,2.0,3,2
12,5,15415.0,3083.0,4970.0,949,6.0,3,0
12,5,15415.0,3083.0,4970.0,949,1.0,7,0
12,5,15415.0,3083.0,4970.0,949,5.0,10,0
12,5,15415.0,3083.0,4970.0,949,10.0,5,0
13,9,18490.0,2054.4444444444443,4207.0,964,7.0,5,0
13,9,18490.0,2054.4444444444443,4207.0,964,4.0,2,0
13,9,18490.0,2054.4444444444443,4207.0,964,8.0,9,0
13,9,18490.0,2054.4444444444443,4207.0,964,3.0,6,0
13,9,18490.0,2054.4444444444443,4207.0,964,6.0,3,0
13,9,18490.0,2054.4444444444443,4207.0,964,10.0,6,0
13,9,18490.0,2054.4444444444443,4207.0,964,6.0,2,0
13,9,18490.0,2054.4444444444443,4207.0,964,7.0,1,0
14,8,22362.0,2795.25,4741.0,956,10.0,5,0
14,8,22362.0,2795.25,4741.0,956,6.0,8,0
14,8,22362.0,2795.25,4741.0,956,9.0,1,0
14,8,22362.0,2795.25,4741.0,956,8.0,6,0
14,8,22362.0,2795.25,4741.0,956,6.0,9,0
15,8,24964.0,3120.5,4665.0,953,1.0,10,0
15,8,24964.0,3120.5,4665.0,953,10.0,6,0
15,8,24964.0,3120.5,4665.0,953,4.0,7,0
16,8,28563.0,3570.375,4901.0,932,7.0,2,0
16,8,28563.0,3570.375,4901.0,932,9.0,4,0
