Customer_ID,Total_Transactions,Total_Amount,Avg_Transaction_Amount,Max_Transaction_Amount,Days_Since_Last_Transaction,Satisfaction_Score,Likelihood_to_Recommend
1,6,16836.0,2806.0,4993.0,951,10.0,9
1,6,16836.0,2806.0,4993.0,951,7.0,9
2,2,4907.0,2453.5,2850.0,992,3.0,3
2,2,4907.0,2453.5,2850.0,992,7.0,5
2,2,4907.0,2453.5,2850.0,992,3.0,7
3,1,1538.0,1538.0,1538.0,1075,10.0,1
3,1,1538.0,1538.0,1538.0,1075,9.0,8
3,1,1538.0,1538.0,1538.0,1075,6.0,2
4,2,8295.0,4147.5,4736.0,953,7.0,4
4,2,8295.0,4147.5,4736.0,953,7.0,8
4,2,8295.0,4147.5,4736.0,953,7.0,2
4,2,8295.0,4147.5,4736.0,953,2.0,3
4,2,8295.0,4147.5,4736.0,953,4.0,1
4,2,8295.0,4147.5,4736.0,953,6.0,2
5,5,14798.0,2959.6,4878.0,926,8.0,7
5,5,14798.0,2959.6,4878.0,926,7.0,3
5,5,14798.0,2959.6,4878.0,926,8.0,9
5,5,14798.0,2959.6,4878.0,926,7.0,4
5,5,14798.0,2959.6,4878.0,926,7.0,5
5,5,14798.0,2959.6,4878.0,926,7.0,7
5,5,14798.0,2959.6,4878.0,926,3.0,10
5,5,14798.0,2959.6,4878.0,926,3.0,5
5,5,14798.0,2959.6,4878.0,926,8.0,1
6,3,8694.0,2898.0,3021.0,1023,3.0,1
6,3,8694.0,2898.0,3021.0,1023,3.0,2
6,3,8694.0,2898.0,3021.0,1023,2.0,7
7,2,3572.0,1786.0,3027.0,935,3.0,2
7,2,3572.0,1786.0,3027.0,935,6.0,4
7,2,3572.0,1786.0,3027.0,935,5.684784805011113,10
7,2,3572.0,1786.0,3027.0,935,9.0,5
7,2,3572.0,1786.0,3027.0,935,3.0,1
8,6,12252.0,2042.0,4681.0,1019,7.0,5
8,6,12252.0,2042.0,4681.0,1019,8.0,1
8,6,12252.0,2042.0,4681.0,1019,5.684784805011113,7
9,8,17320.0,2165.0,4789.0,978,10.0,9
9,8,17320.0,2165.0,4789.0,978,9.0,4
9,8,17320.0,2165.0,4789.0,978,5.0,1
9,8,17320.0,2165.0,4789.0,978,7.0,1
9,8,17320.0,2165.0,4789.0,978,4.0,3
9,8,17320.0,2165.0,4789.0,978,7.0,6
10,6,15682.0,2613.6666666666665,4867.0,930,7.0,1
10,6,15682.0,2613.6666666666665,4867.0,930,3.0,6
10,6,15682.0,2613.6666666666665,4867.0,930,3.0,4
10,6,15682.0,2613.6666666666665,4867.0,930,7.0,3
10,6,15682.0,2613.6666666666665,4867.0,930,7.0,1
