Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type
1,393,2023-01-01 00:00:00,3472.0,Purchase
2,826,2023-01-01 01:00:00,2483.0,Bill Payment
3,916,2023-01-01 02:00:00,10.0,Purchase
4,109,2023-01-01 03:00:00,72.0,Investment
5,889,2023-01-01 04:00:00,1793.0,Investment
6,348,2023-01-01 05:00:00,3824.0,Loan Payment
7,50,2023-01-01 06:00:00,235.0,Loan Payment
8,916,2023-01-01 07:00:00,1052.0,Loan Payment
9,105,2023-01-01 08:00:00,854.0,Purchase
10,420,2023-01-01 09:00:00,2690.0,Investment
11,373,2023-01-01 10:00:00,4129.0,Investment
12,27,2023-01-01 11:00:00,1244.0,Investment
13,968,2023-01-01 12:00:00,1994.0,Bill Payment
14,800,2023-01-01 13:00:00,4266.0,Purchase
15,769,2023-01-01 14:00:00,1288.0,Purchase
16,273,2023-01-01 15:00:00,1604.0,Loan Payment
17,649,2023-01-01 16:00:00,2561.0,Bill Payment
18,340,2023-01-01 17:00:00,1962.0,Bill Payment
19,301,2023-01-01 18:00:00,1705.0,Investment
20,480,2023-01-01 19:00:00,964.0,Loan Payment
21,834,2023-01-01 20:00:00,3301.0,Purchase
22,544,2023-01-01 21:00:00,366.0,Bill Payment
23,557,2023-01-01 22:00:00,3605.0,Investment
24,265,2023-01-01 23:00:00,978.0,Purchase
25,542,2023-01-02 00:00:00,251.0,Investment
26,596,2023-01-02 01:00:00,3456.0,Purchase
27,166,2023-01-02 02:00:00,4244.0,Investment
28,316,2023-01-02 03:00:00,2154.0,Purchase
29,1,2023-01-02 04:00:00,156.0,Loan Payment
30,761,2023-01-02 05:00:00,552.0,Purchase
31,261,2023-01-02 06:00:00,701.0,Purchase
32,63,2023-01-02 07:00:00,2483.0,Purchase
33,483,2023-01-02 08:00:00,4060.0,Investment
34,676,2023-01-02 09:00:00,4015.0,Bill Payment
35,321,2023-01-02 10:00:00,3369.0,Purchase
36,846,2023-01-02 11:00:00,2961.0,Purchase
37,201,2023-01-02 12:00:00,739.0,Loan Payment
38,222,2023-01-02 13:00:00,4509.0,Purchase
39,152,2023-01-02 14:00:00,2565.0,Loan Payment
40,644,2023-01-02 15:00:00,1160.0,Purchase
41,626,2023-01-02 16:00:00,1745.0,Investment
42,462,2023-01-02 17:00:00,1048.0,Bill Payment
43,217,2023-01-02 18:00:00,2922.0,Bill Payment
44,196,2023-01-02 19:00:00,4850.0,Bill Payment
45,793,2023-01-02 20:00:00,2550.0,Investment
46,202,2023-01-02 21:00:00,4424.0,Loan Payment
47,995,2023-01-02 22:00:00,1252.0,Bill Payment
48,647,2023-01-02 23:00:00,782.0,Investment
49,234,2023-01-03 00:00:00,1926.0,Investment
50,141,2023-01-03 01:00:00,3422.0,Purchase
51,708,2023-01-03 02:00:00,2509.0,Loan Payment
52,498,2023-01-03 03:00:00,3450.0,Investment
53,555,2023-01-03 04:00:00,3555.0,Loan Payment
54,57,2023-01-03 05:00:00,1223.0,Bill Payment
55,932,2023-01-03 06:00:00,2941.0,Bill Payment
56,504,2023-01-03 07:00:00,428.0,Bill Payment
57,142,2023-01-03 08:00:00,3791.0,Purchase
